date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
end of example
new values


2012-01-09 | 999
1915-12-31 | 42
2012-42-42 | 42
2016-09-02 | +571
2016-09-02 | 571
2016-09-02 | -571
2016-09-02 | 57a1
2016-09-02 | 571.
2016-09-02 | 571.001.1
2016-09-02 | 571 a
2016-03-01 | 
123
 | 32
2000-01-03 | 3
201501-02-01 | 12
2015/02/01 | 122
2015-02/01 | 24
2011-02-29 | 15
2012-02-29 | 15
2010-11-12 | 10
2025-01-25 | 12
2010-11-11 | 1
2010-11-12 | 10
2011-01-03 | 3.2
2011-01-04 | 0
2022-01-21 | 0.12348
2022-01-01 | 1000
2022-03-29 | 999.999
2022-03-30 | 100
2021-09-12 | 9999999999999999999999999999999999999999
